cik,name,url_spac,url_sponsor
1770141,"GigCapital2, Inc.",https://www.gigcapitalglobal.com/entity/gigcapital2/,https://gigcapitalglobal.com/
1774675,Churchill Capital Corp II,https://churchillcapitalcorp.com/,
1802450,Lionheart Acquisition Corp. II,https://www.lionheartacquisitioncorp.com/,
1802749,"GigCapital3, Inc.",https://www.gigcapitalglobal.com/entity/gigcapital3/,https://gigcapitalglobal.com/
1807846,Fusion Acquisition Corp.,https://www.fusionacq.com/,
1811210,Churchill Capital Corp IV,https://iv.churchillcapitalcorp.com/,
1811882,"Pershing Square Tontine Holdings, Ltd.",https://pstontine.com/,
1812234,Churchill Capital Corp V,https://v.churchillcapitalcorp.com/,
1825437,LIGHTJUMP ACQUISITION CORP,https://www.lightjumpcap.com/lightjump-acquisition-corp,https://www.lightjumpcap.com/
1826889,Forest Road Acquisition Corp.,https://www.spacroadone.com/,https://www.forestroadco.com/
1828250,Churchill Capital Corp VI,https://vi.churchillcapitalcorp.com/,
1829432,Ares Acquisition Corp,https://www.aresacquisitioncorporation.com/,
1836981,"GigCapital4, Inc.",https://www.gigcapitalglobal.com/entity/gigcapital4/,https://gigcapitalglobal.com/
1840161,Forest Road Acquisition Corp. II,https://www.spacroadtwo.com/,https://www.forestroadco.com/
1844505,"GigCapital5, Inc.",https://www.gigcapitalglobal.com/entity/gigcapital5/,https://gigcapitalglobal.com/
1844512,"GigCapital6, Inc.",https://www.gigcapitalglobal.com/entity/gigcapital6/,https://gigcapitalglobal.com/
1848795,"GigInternational1, Inc.",,https://gigcapitalglobal.com/
